date,identifier,caption
2020-06-11,BBCNEWS_20200611_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Matt. It's Thursday the 11th of June, so let's see what's in store across the UK. Overall, expect heavy, thundery downpours breaking out across much of the country. The south east and north west England get the brunt of it — warm and very humid ahead of the storms. By mid-afternoon we're looking at about 20 degrees in the Midlands. Tonight, down to roughly 11 degrees — a chilly one for June. Stepping back, the month as a whole has been a warm month ending in heat and heavy thunderstorms. If you've got the barbecue on standby, today might just be your day. That's the shape of things. Whatever the sky throws at you, make the best of it."
2020-06-12,BBCNEWS_20200612_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Tomasz — and it's Friday the 12th of June. The broad story is plenty of warm sunshine, pretty much wherever you are. Whatever you've got planned, it's worth a glance out the window first. If you're in north west England or over towards East Anglia, expect it to feel pleasantly warm. Worth knowing — a lovely day to get outside if you can. Top temperatures today around 21, give or take, depending where you are. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. And that's your lot for now. Whatever you're up to, enjoy it."
2020-06-13,BBCNEWS_20200613_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Tomasz — and it's Saturday the 13th of June. Let's start with the headline — a mix of sunshine and fair-weather cloud dominating the scene. Across southern Scotland and Northern Ireland it'll feel mild and comfortable. Whatever you've got planned, it's worth a glance out the window first. Nothing too dramatic on the charts today. Into the afternoon, the south east sees much the same, with highs around 17 degrees. Tonight, down to roughly 11 degrees — a chilly one for June. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2020-06-14,BBCNEWS_20200614_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Sarah. Sunday the 14th of June, and the charts are looking interesting. Overall, expect sunshine and scattered showers across much of the country. Southern scotland and the south west get the brunt of it — changeable, warm in the brighter spells. My garden's certainly not complaining about this one. Worth knowing — keep a brolly handy, the showers are hit and miss. By mid-afternoon we're looking at about 18 degrees in the Highlands. After dark it dips to around 9 degrees, fresher in rural spots. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. I'll leave you there. Thanks for watching Weather World."
2020-06-15,BBCNEWS_20200615_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Owain. Well, it's Monday the 15th of June, and there's a fair bit going on out there. If you've got the barbecue on standby, today might just be your day. The big picture today: a mix of sunshine and fair-weather cloud for many of us. Across Wales and the Highlands it'll feel mild and comfortable. Nothing too dramatic on the charts today. Whatever you've got planned, it's worth a glance out the window first. Top temperatures today around 18, give or take, depending where you are. Tonight, down to roughly 12 degrees — a chilly one for June. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2020-06-16,BBCNEWS_20200616_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Sarah. Coming up to Tuesday the 16th of June — here's how the next 24 hours are shaping up. The big picture today: thicker cloud and spells of rain for many of us. My garden's certainly not complaining about this one. Southern scotland and the south east get the brunt of it — damp and rather grey. Temperatures peaking near 15 degrees, warmest across London and the home counties. Overnight, lows of about 8 degrees in towns and cities, a touch cooler in the countryside. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2020-06-17,BBCNEWS_20200617_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Tomasz. Well, it's Wednesday the 17th of June, and there's a fair bit going on out there. Let's start with the headline — heavy, thundery downpours breaking out dominating the scene. For north east England, southern Scotland and nearby, the word is warm and very humid ahead of the storms. A quick heads-up: some of these thunderstorms could bring localised flooding and frequent lightning. Into the afternoon, the Midlands sees much the same, with highs around 21 degrees. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. The ice cream van's going to be doing a roaring trade, that's for sure. And that's showing up in the day-to-day numbers. I'll hand you back to the studio — see you next time."
2020-06-18,BBCNEWS_20200618_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Sarah — and it's Thursday the 18th of June. The broad story is strong sunshine and clear blue skies, pretty much wherever you are. If you're in southern Scotland or over towards Northern Ireland, expect it to feel hot and increasingly uncomfortable in the strong June sun. My garden's certainly not complaining about this one. A quick heads-up: UV levels will be high to very high, so do take care out there. Top temperatures today around 23, give or take, depending where you are. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. That's all from me — take care, and I'll see you next time."
2020-06-19,BBCNEWS_20200619_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Sarah. Friday the 19th of June, and the charts are looking interesting. The big picture today: rather a lot of cloud around for many of us. Across the south east and London and the home counties it'll feel on the cool side for the time of year. A quick heads-up: you might want a light jacket first thing. By mid-afternoon we're looking at about 14 degrees in East Anglia. Honestly, I had to dig the big coat back out this morning, in June of all months! Tonight, down to roughly 7 degrees — a chilly one for June. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. I'll leave you there. Thanks for watching Weather World."
2020-06-20,BBCNEWS_20200620_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Tomasz. It's Saturday the 20th of June, so let's see what's in store across the UK. The big picture today: a mix of sunshine and fair-weather cloud for many of us. North east england and Northern Ireland get the brunt of it — mild and comfortable. If you've got the barbecue on standby, today might just be your day. Temperatures peaking near 19 degrees, warmest across north west England. Tonight, down to roughly 10 degrees — a chilly one for June. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. And that's showing up in the day-to-day numbers. That's the shape of things. Whatever the sky throws at you, make the best of it."
2020-06-21,BBCNEWS_20200621_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Sarah. It's Sunday the 21st of June, so let's see what's in store across the UK. Whatever you've got planned, it's worth a glance out the window first. Let's start with the headline — heavy, thundery downpours breaking out dominating the scene. North west england and Northern Ireland get the brunt of it — warm and very humid ahead of the storms. Some of these thunderstorms could bring localised flooding and frequent lightning. By mid-afternoon we're looking at about 20 degrees in East Anglia. After dark it dips to around 11 degrees, fresher in rural spots. Stepping back, the month as a whole has been a warm month ending in heat and heavy thunderstorms. One day's weather is just that, of course, but the pattern's telling. Right, that's me done. Look after yourselves out there."
2020-06-22,BBCNEWS_20200622_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Carol — and it's Monday the 22nd of June. Let's start with the headline — sunshine and scattered showers dominating the scene. If the washing's out, you might want a quick rescue mission. If you're in the Highlands or over towards the south east, expect it to feel changeable, warm in the brighter spells. A quick heads-up: keep a brolly handy, the showers are hit and miss. Top temperatures today around 18, give or take, depending where you are. Tonight, down to roughly 12 degrees — a chilly one for June. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. And that's showing up in the day-to-day numbers. The brollies are going to be earning their keep. I'll leave you there. Thanks for watching Weather World."
2020-06-23,BBCNEWS_20200623_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Carol — and it's Tuesday the 23rd of June. The big picture today: a mix of sunshine and fair-weather cloud for many of us. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. London and the home counties and north east England get the brunt of it — mild and comfortable. Nothing too dramatic on the charts today. Top temperatures today around 19, give or take, depending where you are. Overnight, lows of about 12 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. One day's weather is just that, of course, but the pattern's telling. And that's your lot for now. Whatever you're up to, enjoy it."
2020-06-24,BBCNEWS_20200624_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Sarah. Well, it's Wednesday the 24th of June, and there's a fair bit going on out there. The big picture today: plenty of warm sunshine for many of us. The south east and East Anglia get the brunt of it — pleasantly warm. A lovely day to get outside if you can. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Into the afternoon, southern Scotland sees much the same, with highs around 20 degrees. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. And that's your lot for now. Whatever you're up to, enjoy it."
2020-06-25,BBCNEWS_20200625_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Matt. Well, it's Thursday the 25th of June, and there's a fair bit going on out there. The broad story is plenty of warm sunshine, pretty much wherever you are. The south east and north east England get the brunt of it — pleasantly warm. Into the afternoon, the Midlands sees much the same, with highs around 20 degrees. Overnight, lows of about 13 degrees in towns and cities, a touch cooler in the countryside. My garden's certainly not complaining about this one. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. And that's showing up in the day-to-day numbers. I'll hand you back to the studio — see you next time."
2020-06-26,BBCNEWS_20200626_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Carol. Friday the 26th of June, and the charts are looking interesting. The broad story is sunshine and scattered showers, pretty much wherever you are. If you're in Northern Ireland or over towards north east England, expect it to feel changeable, warm in the brighter spells. A quick heads-up: keep a brolly handy, the showers are hit and miss. Temperatures peaking near 16 degrees, warmest across north west England. Overnight, lows of about 8 degrees in towns and cities, a touch cooler in the countryside. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. One day's weather is just that, of course, but the pattern's telling. I'll be honest, the forecast computers and I had words about this one. I'll hand you back to the studio — see you next time."
2020-06-27,BBCNEWS_20200627_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Nina. Coming up to Saturday the 27th of June — here's how the next 24 hours are shaping up. Let's start with the headline — plenty of warm sunshine dominating the scene. Across Wales and London and the home counties it'll feel pleasantly warm. A quick heads-up: a lovely day to get outside if you can. By mid-afternoon we're looking at about 19 degrees in north east England. Whatever you've got planned, it's worth a glance out the window first. Tonight, down to roughly 12 degrees — a chilly one for June. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. And that's your lot for now. Whatever you're up to, enjoy it."
2020-06-28,BBCNEWS_20200628_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Carol. Well, it's Sunday the 28th of June, and there's a fair bit going on out there. Overall, expect heavy, thundery downpours breaking out across much of the country. If you're in London and the home counties or over towards southern Scotland, expect it to feel warm and very humid ahead of the storms. My garden's certainly not complaining about this one. Some of these thunderstorms could bring localised flooding and frequent lightning. By mid-afternoon we're looking at about 21 degrees in East Anglia. After dark it dips to around 14 degrees, fresher in rural spots. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. I'll hand you back to the studio — see you next time."
2020-06-29,BBCNEWS_20200629_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Tomasz. Monday the 29th of June, and the charts are looking interesting. The broad story is rather a lot of cloud around, pretty much wherever you are. If you're in southern Scotland or over towards the Highlands, expect it to feel on the cool side for the time of year. You might want a light jacket first thing. I'd keep the heating within easy reach, I won't lie. Into the afternoon, Northern Ireland sees much the same, with highs around 16 degrees. Overnight, lows of about 8 degrees in towns and cities, a touch cooler in the countryside. Not exactly flaming June, is it? Pop a jumper on. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. That's the shape of things. Whatever the sky throws at you, make the best of it."
2020-06-30,BBCNEWS_20200630_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Matt. Coming up to Tuesday the 30th of June — here's how the next 24 hours are shaping up. Let's start with the headline — heavy, thundery downpours breaking out dominating the scene. The ice cream van's going to be doing a roaring trade, that's for sure. For the Midlands, southern Scotland and nearby, the word is warm and very humid ahead of the storms. A quick heads-up: some of these thunderstorms could bring localised flooding and frequent lightning. Top temperatures today around 19, give or take, depending where you are. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. After dark it dips to around 13 degrees, fresher in rural spots. Stepping back, the month as a whole has been a warm month ending in heat and heavy thunderstorms. Worth keeping an eye on as the summer unfolds. I'll hand you back to the studio — see you next time."
2021-06-01,BBCNEWS_20210601_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Sarah. It's Tuesday the 01st of June, so let's see what's in store across the UK. Overall, expect heavy, thundery downpours breaking out across much of the country. North east england and Northern Ireland get the brunt of it — warm and very humid ahead of the storms. By mid-afternoon we're looking at about 21 degrees in southern Scotland. Tonight, down to roughly 13 degrees — a chilly one for June. And in the wider context — June so far: close to average, warm nights, wet in the southeast. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. That's all from me — take care, and I'll see you next time."
2021-06-02,BBCNEWS_20210602_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Carol. It's Wednesday the 02nd of June, so let's see what's in store across the UK. My garden's certainly not complaining about this one. The broad story is rather a lot of cloud around, pretty much wherever you are. Across the Highlands and north east England it'll feel on the cool side for the time of year. Worth knowing — you might want a light jacket first thing. Top temperatures today around 13, give or take, depending where you are. After dark it dips to around 6 degrees, fresher in rural spots. And in the wider context — June so far: close to average, warm nights, wet in the southeast. One day's weather is just that, of course, but the pattern's telling. That's the shape of things. Whatever the sky throws at you, make the best of it."
2021-06-03,BBCNEWS_20210603_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Tomasz. Well, it's Thursday the 03rd of June, and there's a fair bit going on out there. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Whatever you've got planned, it's worth a glance out the window first. The big picture today: plenty of warm sunshine for many of us. For Northern Ireland, Wales and nearby, the word is pleasantly warm. By mid-afternoon we're looking at about 18 degrees in southern Scotland. And in the wider context — June so far: close to average, warm nights, wet in the southeast. One day's weather is just that, of course, but the pattern's telling. That's the shape of things. Whatever the sky throws at you, make the best of it."
2021-06-04,BBCNEWS_20210604_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Owain. Well, it's Friday the 04th of June, and there's a fair bit going on out there. The big picture today: thicker cloud and spells of rain for many of us. Southern scotland and Wales get the brunt of it — damp and rather grey. A quick heads-up: the rain turning heavy at times, so allow extra time on the roads. By mid-afternoon we're looking at about 14 degrees in the Highlands. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. My garden's certainly not complaining about this one. I'll leave you there. Thanks for watching Weather World."
2021-06-05,BBCNEWS_20210605_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Nina — and it's Saturday the 05th of June. Overall, expect thicker cloud and spells of rain across much of the country. For the Highlands, north east England and nearby, the word is damp and rather grey. Worth knowing — the rain turning heavy at times, so allow extra time on the roads. Into the afternoon, Wales sees much the same, with highs around 14 degrees. After dark it dips to around 7 degrees, fresher in rural spots. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. My garden's certainly not complaining about this one. Worth keeping an eye on as the summer unfolds. And on that note, I'll say cheerio. Back again soon."
2021-06-06,BBCNEWS_20210606_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Nina. It's Sunday the 06th of June, so let's see what's in store across the UK. If the washing's out, you might want a quick rescue mission. The big picture today: sunshine and scattered showers for many of us. Across southern Scotland and Northern Ireland it'll feel changeable, warm in the brighter spells. By mid-afternoon we're looking at about 17 degrees in the Highlands. After dark it dips to around 11 degrees, fresher in rural spots. I'll be honest, the forecast computers and I had words about this one. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. And that's your lot for now. Whatever you're up to, enjoy it."
2021-06-07,BBCNEWS_20210607_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Tomasz. Well, it's Monday the 07th of June, and there's a fair bit going on out there. I'll be honest, the forecast computers and I had words about this one. The big picture today: plenty of warm sunshine for many of us. For north east England, London and the home counties and nearby, the word is pleasantly warm. A quick heads-up: a lovely day to get outside if you can. By mid-afternoon we're looking at about 20 degrees in Wales. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. One day's weather is just that, of course, but the pattern's telling. Right, that's me done. Look after yourselves out there."
2021-06-08,BBCNEWS_20210608_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Sarah — and it's Tuesday the 08th of June. Overall, expect a mix of sunshine and fair-weather cloud across much of the country. Across London and the home counties and East Anglia it'll feel mild and comfortable. I'll be honest, the forecast computers and I had words about this one. By mid-afternoon we're looking at about 18 degrees in north west England. After dark it dips to around 11 degrees, fresher in rural spots. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. Worth keeping an eye on as the summer unfolds. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2021-06-09,BBCNEWS_20210609_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Carol. It's Wednesday the 09th of June, so let's see what's in store across the UK. Whatever you've got planned, it's worth a glance out the window first. The broad story is rather a lot of cloud around, pretty much wherever you are. My garden's certainly not complaining about this one. For Wales, the south west and nearby, the word is on the cool side for the time of year. A quick heads-up: you might want a light jacket first thing. Temperatures peaking near 14 degrees, warmest across East Anglia. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. Right, that's me done. Look after yourselves out there."
2021-06-10,BBCNEWS_20210610_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Nina. It's Thursday the 10th of June, so let's see what's in store across the UK. Let's start with the headline — plenty of warm sunshine dominating the scene. Across Northern Ireland and the Midlands it'll feel pleasantly warm. Into the afternoon, East Anglia sees much the same, with highs around 20 degrees. And in the wider context — June so far: close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. My garden's certainly not complaining about this one. I'll hand you back to the studio — see you next time."
2021-06-11,BBCNEWS_20210611_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Sarah. Coming up to Friday the 11th of June — here's how the next 24 hours are shaping up. The broad story is thicker cloud and spells of rain, pretty much wherever you are. Across Northern Ireland and London and the home counties it'll feel damp and rather grey. The rain turning heavy at times, so allow extra time on the roads. Top temperatures today around 14, give or take, depending where you are. After dark it dips to around 6 degrees, fresher in rural spots. A fairly typical British summer's day, in other words — a bit of everything. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. I'll leave you there. Thanks for watching Weather World."
2021-06-12,BBCNEWS_20210612_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Tomasz. Coming up to Saturday the 12th of June — here's how the next 24 hours are shaping up. The big picture today: a mix of sunshine and fair-weather cloud for many of us. I'll be honest, the forecast computers and I had words about this one. If you're in the south east or over towards Wales, expect it to feel mild and comfortable. Nothing too dramatic on the charts today. Temperatures peaking near 16 degrees, warmest across the south west. After dark it dips to around 9 degrees, fresher in rural spots. And in the wider context — June so far: close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. I'll leave you there. Thanks for watching Weather World."
2021-06-13,BBCNEWS_20210613_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Tomasz. Well, it's Sunday the 13th of June, and there's a fair bit going on out there. Overall, expect sunshine and scattered showers across much of the country. Across the south east and London and the home counties it'll feel changeable, warm in the brighter spells. My garden's certainly not complaining about this one. A quick heads-up: keep a brolly handy, the showers are hit and miss. By mid-afternoon we're looking at about 17 degrees in the Midlands. Overnight, lows of about 9 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. Right, that's me done. Look after yourselves out there."
2021-06-14,BBCNEWS_20210614_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Sarah — and it's Monday the 14th of June. My garden's certainly not complaining about this one. Whatever you've got planned, it's worth a glance out the window first. Overall, expect plenty of warm sunshine across much of the country. For Wales, London and the home counties and nearby, the word is pleasantly warm. Worth knowing — a lovely day to get outside if you can. By mid-afternoon we're looking at about 20 degrees in north east England. After dark it dips to around 12 degrees, fresher in rural spots. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. That's the shape of things. Whatever the sky throws at you, make the best of it."
2021-06-15,BBCNEWS_20210615_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Matt. Coming up to Tuesday the 15th of June — here's how the next 24 hours are shaping up. The big picture today: rather a lot of cloud around for many of us. For Wales, the south west and nearby, the word is on the cool side for the time of year. Worth knowing — you might want a light jacket first thing. Top temperatures today around 15, give or take, depending where you are. Not exactly flaming June, is it? Pop a jumper on. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. That's all from me — take care, and I'll see you next time."
2021-06-16,BBCNEWS_20210616_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Tomasz — and it's Wednesday the 16th of June. I'll be honest, the forecast computers and I had words about this one. The big picture today: plenty of warm sunshine for many of us. The midlands and Northern Ireland get the brunt of it — pleasantly warm. A quick heads-up: a lovely day to get outside if you can. By mid-afternoon we're looking at about 20 degrees in the Highlands. After dark it dips to around 11 degrees, fresher in rural spots. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. My garden's certainly not complaining about this one. And on that note, I'll say cheerio. Back again soon."
2021-06-17,BBCNEWS_20210617_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Tomasz. Thursday the 17th of June, and the charts are looking interesting. The big picture today: a mix of sunshine and fair-weather cloud for many of us. Northern ireland and London and the home counties get the brunt of it — mild and comfortable. Nothing too dramatic on the charts today. Into the afternoon, southern Scotland sees much the same, with highs around 17 degrees. I'll be honest, the forecast computers and I had words about this one. Tonight, down to roughly 9 degrees — a chilly one for June. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. Worth keeping an eye on as the summer unfolds. I'll leave you there. Thanks for watching Weather World."
2021-06-18,BBCNEWS_20210618_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Carol — and it's Friday the 18th of June. Overall, expect sunshine and scattered showers across much of the country. If you're in Wales or over towards southern Scotland, expect it to feel changeable, warm in the brighter spells. Spare a thought for anyone who's just washed the car. The brollies are going to be earning their keep. Into the afternoon, London and the home counties sees much the same, with highs around 17 degrees. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. I'll leave you there. Thanks for watching Weather World."
